"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Pomt2",217734,"protein-O-mannosyltransferase 2, transcript variant X1","ENSMUSG00000034126","A830009D15Rik","12","protein_coding","abnormal Reichert's membrane morphology","POMT2"
"Gm10432",100038713,"predicted gene 10432","ENSMUSG00000113679",NA,"12","lncRNA",NA,NA
"Cngb1",333329,"cyclic nucleotide gated channel beta 1, transcript variant 1","ENSMUSG00000031789","BC016201","8","protein_coding","abnormal action potential","CNGB1"
"Dot1l",208266,"DOT1-like, histone H3 methyltransferase (S. cerevisiae), transcript variant X4","ENSMUSG00000061589","KMT4","10","protein_coding","abnormal retinal vasculature morphology","DOT1L"
"Gmnn",57441,"geminin","ENSMUSG00000006715","Gem","13","protein_coding","abnormal lens morphology","GMNN"
"Ccdc160",434778,"coiled-coil domain containing 160","ENSMUSG00000073207","6330534C20Rik","X","protein_coding","abnormal neural tube morphology","CCDC160"
"Ptpn5",19259,"protein tyrosine phosphatase, non-receptor type 5, transcript variant X2","ENSMUSG00000030854","Step","7","protein_coding","increased heart weight","PTPN5"
"Mal2",105853,"mal, T cell differentiation protein 2","ENSMUSG00000024479",NA,"15","protein_coding",NA,"MAL2"
"Arap3",106952,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3, transcript variant X3","ENSMUSG00000024451","Centd3","18","protein_coding","decreased circulating serum albumin level","ARAP3"
"Mib2",76580,"mindbomb homolog 2 (Drosophila), transcript variant 3","ENSMUSG00000029060","2210008I11Rik","4","protein_coding","abnormal eye morphology","MIB2"
"Itgb1bp2",26549,"integrin beta 1 binding protein 2, transcript variant X1","ENSMUSG00000031312","Chordc3","X","protein_coding","abnormal response of heart to induced stress","ITGB1BP2"
"Stk32b",64293,"serine/threonine kinase 32B","ENSMUSG00000029123","2510009F08Rik","5","protein_coding",NA,"STK32B"
"Dgkb",217480,"diacylglycerol kinase, beta, transcript variant X2","ENSMUSG00000036095","C630029D13Rik","12","protein_coding","abnormal hippocampus neuron morphology","DGKB"
"Pcgf6",71041,"polycomb group ring finger 6, transcript variant X2","ENSMUSG00000025050","4933407A11Rik","19","protein_coding","abnormal arcus anterior morphology","PCGF6"
"Serinc2",230779,"serine incorporator 2, transcript variant X1","ENSMUSG00000023232","2310004K20Rik","4","protein_coding","impaired glucose tolerance","SERINC2"
"Arhgef37",328967,"Rho guanine nucleotide exchange factor (GEF) 37, transcript variant X2","ENSMUSG00000045094","4933429F08Rik","18","protein_coding",NA,"ARHGEF37"
"Ltf",17002,"lactotransferrin","ENSMUSG00000032496","lactoferrin","9","protein_coding","abnormal iron homeostasis","LTF"
"Timp2",21858,"tissue inhibitor of metalloproteinase 2","ENSMUSG00000017466","D11Bwg1104e","11","protein_coding","decreased total retina thickness","TIMP2"
"Snora41",100217464,"small nucleolar RNA, H/ACA box 41","ENSMUSG00000064602","MBI-83","1","snoRNA",NA,"SNORA41"
"F3",14066,"coagulation factor III","ENSMUSG00000028128","CD142","3","protein_coding","abnormal atrial thrombosis","F3"
"Tgfbi",21810,"transforming growth factor, beta induced","ENSMUSG00000035493","68kDa","13","protein_coding","abnormal cell nucleus morphology","TGFBI"
"Rab44",442827,"RAB44, member RAS oncogene family, transcript variant X5","ENSMUSG00000064147","9830134C10Rik","17","protein_coding",NA,"RAB44"
"Lclat1",225010,"lysocardiolipin acyltransferase 1, transcript variant 1","ENSMUSG00000054469","AGPAT8","17","protein_coding","decreased circulating cholesterol level","LCLAT1"
"Arid5b",71371,"AT rich interactive domain 5B (MRF1-like), transcript variant X2","ENSMUSG00000019947","5430435G07Rik","10","protein_coding","abnormal adipose tissue morphology","ARID5B"
"Col25a1",77018,"collagen, type XXV, alpha 1, transcript variant X23","ENSMUSG00000058897","2700062B08Rik","3","protein_coding","abnormal motor neuron morphology","COL25A1"
"Inpp5b",16330,"inositol polyphosphate-5-phosphatase B, transcript variant X1","ENSMUSG00000028894","75kDa","4","protein_coding","abnormal Sertoli cell morphology","INPP5B"
"Dhfr",13361,"dihydrofolate reductase","ENSMUSG00000021707","8430436I03Rik","13","protein_coding","decreased circulating bilirubin level","DHFR2"
"Phkg2",68961,"phosphorylase kinase, gamma 2 (testis), transcript variant X1","ENSMUSG00000030815","1500017I02Rik","7","protein_coding","increased erythrocyte cell number","PHKG2"
"Bcl11a",14025,"B cell CLL/lymphoma 11A (zinc finger protein), transcript variant X4","ENSMUSG00000000861","2810047E18Rik","11","protein_coding","abnormal T cell differentiation","BCL11A"
"Nr2f1",13865,"nuclear receptor subfamily 2, group F, member 1, transcript variant X1","ENSMUSG00000069171","COUP-TF1","13","protein_coding","abnormal auditory brainstem response","NR2F1"
"Trhr",22045,"thyrotropin releasing hormone receptor, transcript variant X2","ENSMUSG00000038760","TRH-R1","15","protein_coding","abnormal circulating ghrelin level","TRHR"
"Msc",17681,"musculin, transcript variant X1","ENSMUSG00000025930","bHLHa22","1","protein_coding","no abnormal phenotype detected","MSC"
"Mndal",100040462,"myeloid nuclear differentiation antigen like, transcript variant X3","ENSMUSG00000090272","Ifi212","1","protein_coding",NA,NA
"Pou3f2",18992,"POU domain, class 3, transcription factor 2","ENSMUSG00000095139","9430075J19Rik","4","protein_coding","abnormal brown adipose tissue morphology","POU3F2"
"Gm9962",791383,"predicted gene 9962","ENSMUSG00000055048",NA,"7","lncRNA",NA,NA
"Atg16l2",73683,"autophagy related 16-like 2 (S. cerevisiae), transcript variant X12","ENSMUSG00000047767","2410118P20Rik","7","protein_coding","decreased lymphocyte cell number","ATG16L2"
"Gm16425",670326,NA,"ENSMUSG00000083218",NA,"8","processed_pseudogene",NA,NA
"Ap1m1",11767,"adaptor-related protein complex AP-1, mu subunit 1, transcript variant X1","ENSMUSG00000003033","Adtm1A","8","protein_coding","embryonic lethality during organogenesis complete penetrance","AP1M1"
"Trpv3",246788,"transient receptor potential cation channel, subfamily V, member 3, transcript variant X2","ENSMUSG00000043029","1110036I10Rik","11","protein_coding","abnormal coat/ hair morphology","TRPV3"
"Inpp5k",19062,"inositol polyphosphate 5-phosphatase K, transcript variant X2","ENSMUSG00000006127","C62","11","protein_coding","increased neutrophil cell number","INPP5K"
"D11Wsu47e",276852,"DNA segment, Chr 11, Wayne State University 47, expressed, transcript variant X6","ENSMUSG00000041623",NA,"11","protein_coding",NA,"C17orf80"
"Fkbp1b",14226,"FK506 binding protein 1b","ENSMUSG00000020635","12.6kDa","12","protein_coding","abnormal retinal blood vessel morphology","FKBP1B"
"Syvn1",74126,"synovial apoptosis inhibitor 1, synoviolin, transcript variant X1","ENSMUSG00000024807","1200010C09Rik","19","protein_coding","abnormal apoptosis","SYVN1"
"Aldh3a2",11671,"aldehyde dehydrogenase family 3, subfamily A2, transcript variant X5","ENSMUSG00000010025","Ahd-3","11","protein_coding","abnormal behavior","ALDH3A2"
"Dtd2",328092,"D-tyrosyl-tRNA deacylase 2","ENSMUSG00000020956","4930578F06Rik","12","protein_coding",NA,"DTD2"
"Pcdh19",279653,"protocadherin 19, transcript variant 2","ENSMUSG00000051323","B530002L05Rik","X","protein_coding","abnormal brain wave pattern","PCDH19"
"Gm5526",433297,NA,"ENSMUSG00000084817",NA,"1","processed_pseudogene",NA,NA
"Nsun5",100609,"NOL1/NOP2/Sun domain family, member 5, transcript variant X4","ENSMUSG00000000916","9830109N13Rik","5","protein_coding","decreased anxiety-related response","NSUN5"
"Hrh2",15466,"histamine receptor H2, transcript variant X3","ENSMUSG00000034987","H2r","13","protein_coding","abnormal gastric chief cell morphology","HRH2"
"Lmbr1l",74775,"limb region 1 like, transcript variant X1","ENSMUSG00000022999","1110013E13Rik","15","protein_coding","abnormal B cell differentiation","LMBR1L"
"Pkn1",320795,"protein kinase N1, transcript variant 2","ENSMUSG00000057672","F730027O18Rik","8","protein_coding","abnormal behavior","PKN1"
"Nptx2",53324,"neuronal pentraxin 2","ENSMUSG00000059991","narp","5","protein_coding","abnormal discrimination learning","NPTX2"
"Ctxn1",330695,"cortexin 1","ENSMUSG00000048644",NA,"8","protein_coding",NA,"CTXN1"
"Rp1",19888,"retinitis pigmentosa 1 (human), transcript variant 2","ENSMUSG00000025900","Dcdc3","1","protein_coding","abnormal cone electrophysiology","RP1"
"Gm7357",664830,NA,"ENSMUSG00000102269",NA,"1","processed_pseudogene",NA,NA
"Mrpl15",27395,"mitochondrial ribosomal protein L15, transcript variant 3","ENSMUSG00000033845","HSPC145","1","protein_coding",NA,"MRPL15"
"Lypla1",18777,"lysophospholipase 1, transcript variant X1","ENSMUSG00000025903","Gm39587","1","protein_coding","abnormal retinal inner nuclear layer morphology","LYPLA1"
"Tcea1",21399,"transcription elongation factor A (SII) 1, transcript variant 2","ENSMUSG00000033813","S-II","1","protein_coding","abnormal erythropoiesis","TCEA1"
"Gm6104",619829,NA,"ENSMUSG00000062588",NA,"1","processed_pseudogene",NA,NA
"Atp6v1h",108664,"ATPase, H+ transporting, lysosomal V1 subunit H, transcript variant X1","ENSMUSG00000033793","0710001F19Rik","1","protein_coding","abnormal retinal vasculature morphology","ATP6V1H"
"Oprk1",18387,"opioid receptor, kappa 1, transcript variant X1","ENSMUSG00000025905","KOR-1","1","protein_coding","abnormal avoidance learning behavior","OPRK1"
"Npbwr1",226304,"neuropeptides B/W receptor 1","ENSMUSG00000033774","Gpr7","1","protein_coding","decreased exploration in new environment","NPBWR1"
"Rb1cc1",12421,"RB1-inducible coiled-coil 1, transcript variant X2","ENSMUSG00000025907","2900055E04Rik","1","protein_coding","abnormal heart morphology","RB1CC1"
"Gm2147",100039302,NA,"ENSMUSG00000103355",NA,"1","processed_pseudogene",NA,NA
"Gm26901",102632124,"predicted gene, 26901, transcript variant X6","ENSMUSG00000097797",NA,"1","lncRNA",NA,NA
"Sntg1",71096,"syntrophin, gamma 1, transcript variant X2","ENSMUSG00000025909","G1SYN","1","protein_coding",NA,"SNTG1"
"Gm6187",620853,NA,"ENSMUSG00000101571",NA,"1","processed_pseudogene",NA,NA
"Rrs1",59014,"RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)","ENSMUSG00000061024","5730466A07Rik","1","protein_coding","decreased grip strength","RRS1"
"Mcmdc2",240697,"minichromosome maintenance domain containing 2, transcript variant X6","ENSMUSG00000046101","6030422M02Rik","1","protein_coding","abnormal double-strand DNA break repair","MCMDC2"
"Snhg6",73824,"small nucleolar RNA host gene 6","ENSMUSG00000098234","1110008H02Rik","1","lncRNA",NA,NA
"Snord87",266793,"small nucleolar RNA, C/D box 87","ENSMUSG00000093178","MBII-276","1","snoRNA",NA,"SNORD87"
"Tcf24",100039596,"transcription factor 24, transcript variant X2","ENSMUSG00000099032",NA,"1","protein_coding",NA,"TCF24"
"Ppp1r42",69312,"protein phosphatase 1, regulatory subunit 42, transcript variant 2","ENSMUSG00000025916","1700011J18Rik","1","protein_coding","vertebral fusion","PPP1R42"
"Arfgef1",211673,"ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)","ENSMUSG00000067851","ARFGEP1","1","protein_coding","abnormal axon extension","ARFGEF1"
"Cpa6",329093,"carboxypeptidase A6, transcript variant X1","ENSMUSG00000042501","9030616D13Rik","1","protein_coding",NA,"CPA6"
"Ncoa2",17978,"nuclear receptor coactivator 2, transcript variant a","ENSMUSG00000005886","bHLHe75","1","protein_coding","abnormal body wall morphology","NCOA2"
"Tram1",72265,"translocating chain-associating membrane protein 1","ENSMUSG00000025935","1810049E02Rik","1","protein_coding",NA,"TRAM1"
"Gm5523",433273,"predicted pseudogene 5523","ENSMUSG00000097711",NA,"1","processed_pseudogene",NA,NA
"Eya1",14048,"eyes absent 1 homolog (Drosophila), transcript variant X6","ENSMUSG00000025932","bor","1","protein_coding","abnormal aortic arch morphology","EYA1"
"Smt3h2-ps4",114607,NA,"ENSMUSG00000081201",NA,"1","processed_pseudogene",NA,NA
"Trpa1",277328,"transient receptor potential cation channel, subfamily A, member 1","ENSMUSG00000032769","ANKTM1","1","protein_coding","abnormal cornea morphology","TRPA1"
"Gm10566",100039959,NA,"ENSMUSG00000073737",NA,"1","processed_pseudogene",NA,NA
"Terf1",21749,"telomeric repeat binding factor 1, transcript variant X1","ENSMUSG00000025925","Pin2","1","protein_coding","abnormal ectoplacental cone morphology","TERF1"
"Rdh10",98711,"retinol dehydrogenase 10 (all-trans), transcript variant X1","ENSMUSG00000025921","3110069K09Rik","1","protein_coding","abnormal autopod morphology","RDH10"
"Stau2",29819,"staufen (RNA binding protein) homolog 2 (Drosophila), transcript variant X1","ENSMUSG00000025920",NA,"1","protein_coding","decreased bone mineral content","STAU2"
"Ly96",17087,"lymphocyte antigen 96, transcript variant X1","ENSMUSG00000025779","ESOP-1","1","protein_coding","abnormal immune cell physiology","LY96"
"Jph1",57339,"junctophilin 1, transcript variant X4","ENSMUSG00000042686","ENSMUSG00000054314","1","protein_coding","abnormal sarcoplasmic reticulum morphology","JPH1"
"Gdap1",14545,"ganglioside-induced differentiation-associated-protein 1","ENSMUSG00000025777",NA,"1","protein_coding","abnormal adrenal gland morphology","GDAP1"
"Rbm6-ps1",108212,NA,"ENSMUSG00000101589",NA,"1","processed_pseudogene",NA,NA
"Pi15",94227,"peptidase inhibitor 15","ENSMUSG00000067780","P24TI","1","protein_coding",NA,"PI15"
"Gm28154",102634738,"predicted gene 28154, transcript variant X5","ENSMUSG00000100053",NA,"1","lncRNA",NA,NA
"Gm16070",102634913,"predicted gene 16070","ENSMUSG00000085125",NA,"1","lncRNA",NA,NA
"Gm15825",102635013,"predicted gene 15825","ENSMUSG00000089787",NA,"1","lncRNA",NA,NA
"Tfap2d",226896,"transcription factor AP-2, delta","ENSMUSG00000042596","Tcfap2d","1","protein_coding","absent inferior colliculus","TFAP2D"
"Tfap2b",21419,"transcription factor AP-2 beta, transcript variant 1","ENSMUSG00000025927","AP-2(beta)","1","protein_coding","increased cardiac muscle contractility","TFAP2B"
"Pkhd1",241035,"polycystic kidney and hepatic disease 1, transcript variant X1","ENSMUSG00000043760","FPC","1","protein_coding","abnormal bile duct development","PKHD1"
"Mir133b",723817,"microRNA 133b","ENSMUSG00000065480","mir 133b","1","miRNA","no abnormal phenotype detected","MIR133B"
"Il17f",257630,"interleukin 17F, transcript variant X1","ENSMUSG00000041872",NA,"1","protein_coding","abnormal effector T cell morphology","IL17F"
"Paqr8",74229,"progestin and adipoQ receptor family member VIII","ENSMUSG00000025931","1700019B16Rik","1","protein_coding","abnormal epididymis morphology","PAQR8"
"Tram2",170829,"translocating chain-associating membrane protein 2","ENSMUSG00000041779","C330003D03Rik","1","protein_coding","abnormal humerus morphology","TRAM2"
"Gm7658",665489,NA,"ENSMUSG00000082935","D1Mgi28","1","processed_pseudogene",NA,NA
"Gm7761",665731,NA,"ENSMUSG00000101468",NA,"1","processed_pseudogene",NA,NA
"Mir30c-2",723964,"microRNA 30c-2","ENSMUSG00000065567","mir 30c-2","1","miRNA",NA,"MIR30C2"
"Ogfrl1",70155,"opioid growth factor receptor-like 1","ENSMUSG00000026158","2210417C17Rik","1","protein_coding",NA,"OGFRL1"
"Smap1",98366,"small ArfGAP 1, transcript variant 3","ENSMUSG00000026155","1700056O10Rik","1","protein_coding","abnormal blood cell morphology/development","SMAP1"
"Fam135a",68187,"family with sequence similarity 135, member A","ENSMUSG00000026153","4921533L14Rik","1","protein_coding",NA,"FAM135A"
"Col19a1",12823,"collagen, type XIX, alpha 1, transcript variant X5","ENSMUSG00000026141",NA,"1","protein_coding","abnormal esophageal smooth muscle morphology","COL19A1"
"Lmbrd1",68421,"LMBR1 domain containing 1","ENSMUSG00000073725","0910001K20Rik","1","protein_coding","abnormal embryo size","LMBRD1"
"Gm20172",100504323,"predicted gene, 20172","ENSMUSG00000104257",NA,"1","TEC",NA,NA
"Gm29214",102632997,NA,"ENSMUSG00000101301",NA,"1","processed_pseudogene",NA,NA
"Gm7846",665903,"predicted gene 7846","ENSMUSG00000086240",NA,"1","processed_pseudogene",NA,NA
"Gm5525",433283,NA,"ENSMUSG00000099492",NA,"1","processed_pseudogene",NA,NA
"Phf3",213109,"PHD finger protein 3, transcript variant X5","ENSMUSG00000048874","2310061N19Rik","1","protein_coding","abnormal auditory brainstem response","PHF3"
"Khdrbs2",170771,"KH domain containing, RNA binding, signal transduction associated 2, transcript variant X1","ENSMUSG00000026058","6330586C16Rik","1","protein_coding","abnormal autophagy","KHDRBS2"
"Gm5415",408191,"predicted gene 5415","ENSMUSG00000091318",NA,"1","protein_coding",NA,NA
"Zfp451",98403,"zinc finger protein 451, transcript variant 2","ENSMUSG00000042197","4930515K21Rik","1","protein_coding","abnormal pancreas morphology","ZNF451"
"Gm15455",433287,"predicted gene 15455","ENSMUSG00000081402",NA,"1","processed_pseudogene",NA,NA
"Bend6",320705,"BEN domain containing 6, transcript variant X1","ENSMUSG00000042182","B230209C24Rik","1","protein_coding","increased heart rate","BEND6"
